Volcano,VEI,Lon,Lat,Time Eruption,Max Plume Height km,SO2 kt
Cameroon,2,9.17,4.203,30 Mar 1999,9,45
Shishaldin,3,-163.97,54.75,19 Apr 1999,13.7,63
Soufriere_Hills,3,-62.18,16.72,20 Jul 1999,11.1,16
Tungurahua,3,-78.442,-1.467,16 Nov 1999,15,6
Nyamuragira,2,29.2,-1.408,28 Jan 2000,7,317
Hekla,3,-19.7,63.98,26 Feb 2000,11,183
Soufriere_Hills,3,-62.18,16.72,20 Mar 2000,9,3.4
Miyakejima,3,139.53,34.08,18 Aug 2000,16,64
Ulawun,4,151.33,-5.05,28 Sep 2000,16,37
Popocatepetl,3,-98.622,19.023,15 Dec 2000,15.5,49
Popocatepetl,3,-98.622,19.023,23 Jan 2001,12,21
Nyamuragira,2,29.2,-1.408,6 Feb 2001,10,1651
Cleveland,3,-169.95,52.82,19 Feb 2001,10,6
Ulawun,3,151.33,-5.05,30 apr 2001,14,30
Etna,2,15.004,37.734,25 Jul 2001,8.35,10
Soufriere_Hills,3,-62.18,16.72,30 Jul 2001,11,33
Tungurahua,3,-78.442,-1.467,6 Aug 2001,13,32
Nyiragongo,1,29.25,-1.52,17 Jan 2002,9,30
Manam,3,145.061,-4.1,19 May 2002,9,10
Nyamuragira,2,29.2,-1.408,25 Jul 2002,10,2321
Ulawun,2,151.33,-5.05,27 Aug 2002,12.3,10
Ruang,4,125.37,2.3,26 Sep 2002,22,80
Etna,3,15.004,37.734,27 Oct 2002,13.4,80
Reventador,4,-77.656,-0.078,3 Nov 2002,17,84
Papandayan,2,107.73,-7.32,13 Nov 2002,12.7,7
Piton,2,55.713,-21.229,17 Nov 2002,7.6,4
Tungurahua,3,-78.442,-1.467,8 Mar 2003,15,12
Anatahan,3,145.67,16.35,11 May 2003,15,494
Lopevi,3,168.346,-16.507,9 Jun 2003,12,50
Soufriere_Hills,3,-62.18,16.72,13 Jul 2003,16,100
Bezymianny,3,160.587,55.978,26 Jul 2003,11,2
Gamalama,2,127.33,0.8,31 Jul 2003,11.7,5
Soputan,2,124.725,1.108,1 Sep 2003,11.7,16
Bezymianny,3,160.587,55.978,14 Jan 2004,10,2
Soufriere_Hills,3,-62.18,16.72,3 Mar 2004,7,5
Sheveluch,3,161.36,56.653,10 May 2004,11,1
Nyamuragira,2,29.2,-1.408,8 May 2004,7,2587
Bromo,2,112.95,-7.942,9 Jun 2004,12.3,31
Galeras,3,-77.37,1.22,12 Aug 2004,11,3
Asama,2,138.53,36.4,1 Sep 2004,5,101
Lopevi,2,168.346,-16.507,28 Sep 2004,11.4,22
Piton,0,55.713,-21.229,2 Oct 2004,7.6,0.5
Soputan,3,124.725,1.108,18 Oct 2004,11.8,25
Manam,3,145.061,-4.1,24 Oct 2004,18,190
Grimsvotn,3,-17.33,64.42,2 Nov 2004,12,30
Manam,4,145.061,-4.1,28 Jan 2005,24,140
Piton,0,55.713,-21.229,26 Feb 2005,7.6,25
Chikurachki,1,155.458,50.325,12 Mar 2005,5,5
Anatahan,3,145.67,16.35,5 Apr 2005,16,2324
Talang,2,100.679,-0.978,12 Apr 2005,8,1
Karthala,2,43.38,-11.75,17 Apr 2005,7.4,10
Soputan,2,124.725,1.108,20 Apr 2005,6,6.5
Lascar,3,-67.73,-23.37,4 May 2005,10,3
Fernandina,2,-91.55,-0.37,13 May 2005,9,150
Soufriere_Hills,3,-62.18,16.72,28 Jun 2005,7,8
Santa_Ana,3,-89.63,13.853,1 Oct 2005,14,12
Sierra_Negra,3,-91.17,-0.83,23 Oct 2005,15,1928
Karthala,3,43.38,-11.75,24 Nov 2005,12,20
Fuego,3,-90.88,14.473,27 Dec 2005,8,1
Augustine,3,-153.42,59.37,29 Jan 2006,10,10
Tinakula,2,165.8,-10.38,12 Feb 2006,3,2
Manam,3,145.061,-4.1,27 Feb 2006,19,50
Bulusan,2,124.05,12.77,21 Mar 2006,7,1
Barren_Island,2,93.858,12.278,4 Apr 2006,5,0.2
Lascar,3,-67.73,-23.37,18 Apr 2006,8,2
Bezymianny,3,160.587,55.978,9 May 2006,15,5
Soufriere_Hills,3,-62.18,16.72,20 May 2006,20,200
Cleveland,3,-169.95,52.82,23 May 2006,8,0.13
Karthala,0,43.38,-11.75,28 May 2006,7.3,10
Merapi,1,110.442,-7.542,15 Jun 2006,5,10
Tungurahua,3,-78.442,-1.467,15 Jul 2006,16,40
Home_Reef,2,-174.8,-18.992,8 Aug 2006,10,25
Piton,2,55.713,-21.229,31 Aug 2006,7.6,1
Fourpeaked,2,-153.67,58.77,17 Sep 2006,6,1
Rabaul,4,152.203,-4.271,7 Oct 2006,18,300
Etna,2,15.004,37.734,16 Nov 2006,5,10
Nyamuragira,2,29.2,-1.408,27 Nov 2006,15,675
Soputan,1,124.725,1.108,12 Dec 2006,12,10
Soufriere_Hills,3,-62.18,16.72,8 Jan 2007,9,1
Karthala,2,43.38,-11.75,12 Jan 2007,7.4,1
Chikurachki,2,155.458,50.325,4 Mar 2007,5,50
Fuego,3,-90.88,14.473,15 Mar 2007,6,6
Etna,2,15.004,37.734,29 Mar 2007,8.4,39
Piton,1,55.713,-21.229,3 Apr 2007,11,300
Bulusan,2,124.05,12.77,8 Apr 2007,7,3
Lopevi,2,168.346,-16.507,20 Apr 2007,5,12
Kliuchevskoi,2,160.638,56.057,30 Apr 2007,10,176
Gamkonora,2,127.53,1.38,9 Jul 2007,6,1
Manda_Hararo,2,40.82,12.17,12 Aug 2007,5.6,26
Soputan,3,124.725,1.108,14 Aug 2007,14,17
Jebel_al_Tair,3,41.82,15.55,30 Sep 2007,16,80
Bezymianny,3,160.587,55.978,15 Oct 2007,10,5
Garbuna,2,150.03,-5.45,11 Nov 2007,3,1
Llaima,3,-71.729,-38.692,1 Jan 2008,13,30
Chaiten,4,-72.646,-42.833,2 May 2008,17,14
Etna,2,15.004,37.734,10 May 2008,6,47
Cerro_Azul,1,-91.408,-0.92,30 May 2008,3,157
Soputan,3,124.725,1.108,6 Jun 2008,14,49
Okmok,4,-168.13,53.42,12 Jul 2008,15,150
Chikurachki,2,155.458,50.325,18 Jul 2008,6,20
Soufriere_Hills,2,-62.18,16.72,29 Jul 2008,12,8
Kasatochi,4,-175.5,52.177,7 Aug 2008,15,2000
Dalaffilla,3,40.55,13.82,3 Nov 2008,16,150
Soufriere_Hills,3,-62.18,16.72,3 Jan 2009,18,38
Redoubt,3,-152.75,60.48,23 Mar 2009,19,159
Llaima,3,-71.729,-38.692,3 Apr 2009,4,10
Fernandina,2,-91.55,-0.37,11 Apr 2009,3,521
Sarychev_Peak,4,153.2,48.092,15 Jun 2009,17,1200
Manda_Hararo,2,40.82,12.17,29 Jun 2009,5.6,34
Koryaksky,2,158.712,53.321,16 Aug 2009,4,2
Bezymianny,3,160.587,55.978,17 Dec 2009,15,1
Nyamuragira,1,29.2,-1.408,2 Jan 2010,8,601
Piton,2,55.713,-21.229,11 Jan 2011,7.6,2
Eyjafjallajokull,4,-19.62,63.63,22 Apr 2010,8,448
Pacaya,3,-90.601,14.381,28 May 2010,18,23
Sheveluch,3,161.36,56.653,27 Oct 2010,12,11
Merapi,4,110.442,-7.542,4 Nov 2010,17,300
Bromo,3,112.95,-7.942,29 Nov 2010,6,17
Kizimen,3,160.32,55.131,13 Dec 2010,10,37
Kizimen,3,160.32,55.131,1 Jan 2011,8,23
Etna,1,15.004,37.734,12 Jan 2011,13.4,83.5
Kirishimayama,2,130.862,31.934,26 Jan 2011,4,30
Bromo,3,112.95,-7.942,28 Jan 2011,8,24
Bulusan,2,124.05,12.77,21 Feb 2011,5,1.2
Planchon_Peteroa,3,-70.568,-35.223,2 May 2011,6,1
Grimsvotn,4,-17.33,64.42,21 May 2011,12,300
Cordon_Caulle,5,-72.117,-40.59,4 Jun 2011,14,200
Nabro,4,41.7,13.37,13 Jun 2011,18,3650
Soputan,3,124.725,1.108,3 Jul 2011,14,12
Hudson,1,-72.97,-45.9,26 Oct 2011,12,1
Nyamuragira,2,29.2,-1.408,7 Nov 2011,8,1719
Gamalama,2,127.33,0.8,4 Dec 2011,6,8
Zubair_Group,2,42.18,15.05,18 Dec 2011,5.2,1
Etna,1,15.004,37.734,5 Jan 2012,11,38.6
Tongariro,2,175.632,-39.157,6 Aug 2012,12,1
Soputan,3,124.725,1.108,27 Aug 2012,12,12
Bezymianny,3,160.587,55.978,1 Sep 2012,12,3
San_Cristobal,2,-87.004,12.702,8 Sep 2012,5,6
Fuego,3,-90.88,14.473,13 Sep 2012,8,2
Tolbachik,4,160.326,55.832,27 Nov 2012,10,40
Copahue,2,-71.17,-37.85,22 Dec 2012,10,500
